"sosid","name","gov","np","fp","nf","status","date_created","date_terminated","current","humans","animals","plants","syndromic"
"SOS1","Malaria Early Warning System (MEWS)",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,"yes","no","no","blank"
"SOS2","Canadian Measles/Rubella Surveillance System (CMRSS)",TRUE,FALSE,FALSE,FALSE,"current",1997-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS3","DHIS2",FALSE,TRUE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS4","Arbovirus Disease Surveillance in Kansas",TRUE,FALSE,FALSE,FALSE,"current",2010-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS5","Iowa Voluntary Chronic Wasting Disease Surveillance Program",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS6","Utah - National Electronic Disease Surveillance System (UT-NEDSS)",TRUE,FALSE,FALSE,FALSE,"terminated",2006-12-31,2008-12-31,FALSE,"yes","no","no","blank"
"SOS7","Integrated Plant Health Information System (IPHIS)",TRUE,FALSE,FALSE,FALSE,"terminated",2009-12-31,2012-12-31,FALSE,"no","no","yes","blank"
"SOS8","Communicable Disease Surveillance for Superbowl XLVIII (New Jersey)",FALSE,TRUE,FALSE,FALSE,"terminated",2013-12-31,2014-12-31,FALSE,"yes","yes","no","blank"
"SOS9","Epidemiological Surveillance for Superbowl XLIX (Arizona)",FALSE,TRUE,FALSE,FALSE,"terminated",2013-12-31,2014-12-31,FALSE,"yes","yes","no","blank"
"SOS10","Foodborne Disease Outbreak Surveillance System (FDOSS)",TRUE,FALSE,FALSE,FALSE,"current",1972-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS11","Syndrome Reporting Information System (SYRIS)",FALSE,FALSE,TRUE,FALSE,"terminated",2002-12-31,2013-12-31,FALSE,"yes","yes","no","blank"
"SOS12","National Poison Data System (NPDS)",FALSE,TRUE,FALSE,FALSE,"current",1984-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS13","Food Safety Surveys",TRUE,FALSE,FALSE,FALSE,"terminated",1992-12-31,2009-12-31,FALSE,"no","yes","yes","blank"
"SOS14","Wildlife Health Event Reporter (WHER)",TRUE,FALSE,FALSE,FALSE,"current",2009-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS15","Beetle Busters",TRUE,FALSE,FALSE,FALSE,"current",1997-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS16","Quarantine Activity Reporting System (QARS)",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS17","EMERGEncy ID Net",TRUE,FALSE,FALSE,FALSE,"terminated",1994-12-31,2000-12-31,FALSE,"yes","no","no","blank"
"SOS18","Missouri Communicable Disease Surveillance",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS19","Maryland Infectious Disease Bureau",TRUE,FALSE,FALSE,FALSE,"terminated",2006-12-31,2012-12-31,FALSE,"yes","yes","no","blank"
"SOS20","Mississippi State Department of Health (MSDH)",TRUE,FALSE,FALSE,FALSE,"current",1981-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS21","Idaho Department of Health and Welfare",TRUE,FALSE,FALSE,FALSE,"terminated",2001-12-31,2012-12-31,FALSE,"yes","yes","no","blank"
"SOS22","New Hampshire Veterinary Surveillance",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","yes","no","blank"
"SOS23","West Nile Virus Suveillance System- Lincoln Park Zoo",TRUE,TRUE,FALSE,FALSE,"terminated",2000-12-31,2005-12-31,FALSE,"no","yes","no","blank"
"SOS24","Los Angeles County Department of Public Health",TRUE,FALSE,FALSE,FALSE,"current",2009-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS25","County of San Diego Public Health Services, Epidemiology Program",TRUE,FALSE,FALSE,FALSE,"current",1995-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS26","Nebraska Department of Health & Human Services - Office of Epidemiology (NE DHHS)",TRUE,FALSE,FALSE,FALSE,"current",1983-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS27","City of Pasadena Public Health Department",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS28","Utah Bureau of Epidemiology",TRUE,FALSE,FALSE,FALSE,"current",2012-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS29","INDICATOR",FALSE,TRUE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS30","ArboNET",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS31","Illinois Sentinel Plot System",TRUE,TRUE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"no","no","yes","blank"
"SOS32","Offshore Pest Information System (OPIS)",TRUE,FALSE,FALSE,FALSE,"terminated",2004-12-31,2009-12-31,FALSE,"no","yes","yes","blank"
"SOS33","Seabird Ecological Assessment Network (SEANET)",FALSE,TRUE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS34","National Animal Health Monitoring System (NAHMS)",TRUE,FALSE,FALSE,FALSE,"current",1982-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS35","National Wildlife Health Center Mortality Events",TRUE,FALSE,FALSE,FALSE,"current",1994-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS36","Pest Tracker-National Agricultural Pest Information System (NAPIS)",FALSE,TRUE,FALSE,FALSE,"current",2005-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS37","Exotic Pest Information Collection and Analysis (EPICA)",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"no","yes","yes","blank"
"SOS38","GenBank",TRUE,FALSE,FALSE,FALSE,"current",1981-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS39","National Animal Health Laboratory Network (NAHLN) -",TRUE,TRUE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS40","National Antimicrobial Resistance Monitoring System (NARMS)",TRUE,FALSE,FALSE,FALSE,"current",1995-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS41","Colorado Electronic Disease Reporting System (CEDRS)",TRUE,FALSE,FALSE,FALSE,"current",1998-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS42","Microbiological and Residue Computer Information System (MARCIS)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"no","yes","no","blank"
"SOS43","The National Prion Disease Pathology Surveillance Center",FALSE,TRUE,FALSE,FALSE,"current",1996-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS44","Shrimp Surveillance and Certification Program",TRUE,FALSE,FALSE,FALSE,"current",1998-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS45","Laboratory Electronic Application for Results Notification (LEARN)",TRUE,FALSE,FALSE,FALSE,"absorbed",NA,2012-12-31,FALSE,"no","yes","no","blank"
"SOS46","National Poultry Improvement Program (NPIP)",TRUE,FALSE,FALSE,FALSE,"current",1929-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS47","Food Emergency Response Network (FERN)",TRUE,FALSE,FALSE,FALSE,"terminated",2006-12-31,2012-12-31,FALSE,"no","yes","yes","blank"
"SOS48","Food Safety Inspection Service (FSIS)",TRUE,FALSE,FALSE,FALSE,"current",1980-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS49","Laboratory Information Management System- Direct (LIMS-Direct)",TRUE,FALSE,FALSE,FALSE,"current",2012-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS50","Microbiological and Residue Computer Information System (MARCIS)",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"no","yes","no","blank"
"SOS51","Electronic Laboratory Exchange Network (eLEXNET)",TRUE,FALSE,FALSE,FALSE,"terminated",1998-12-31,2012-12-31,FALSE,"no","yes","yes","blank"
"SOS52","California Electronic Laboratory Disease Alert and Reporting System (CELDAR)",TRUE,FALSE,FALSE,FALSE,"terminated",1999-12-31,2003-12-31,FALSE,"yes","yes","no","blank"
"SOS53","Rabies Surveillance Network (RSN)",TRUE,FALSE,FALSE,FALSE,"terminated",2009-12-31,2011-12-31,FALSE,"no","yes","no","blank"
"SOS54","TickNET",FALSE,TRUE,FALSE,FALSE,"terminated",2006-12-31,2011-12-31,FALSE,"yes","yes","no","blank"
