"","NA.","i","search","shortname"
"1",NA,NA,NA,NA
"2",NA,2,"canada","Canada"
"3",NA,3,"zambia","Zambia"
"4",NA,4,"united states","United States of America"
"5",NA,5,"united states","United States of America"
"6",NA,6,"united states","United States of America"
"7",NA,7,"united states","United States of America"
"8",NA,8,"united states","United States of America"
"9",NA,9,"united states","United States of America"
"10",NA,10,"united states","United States of America"
"11",NA,11,"united states","United States of America"
"12",NA,12,"united states","United States of America"
"13",NA,13,"united states","United States of America"
"14",NA,14,"united states","United States of America"
"15",NA,15,"united states","United States of America"
"16",NA,16,"united states","United States of America"
"17",NA,17,"united states","United States of America"
"18",NA,18,"united states","United States of America"
"19",NA,19,"united states","United States of America"
"20",NA,20,"united states","United States of America"
"21",NA,21,"united states","United States of America"
"22",NA,22,"united states","United States of America"
"23",NA,23,"united states","United States of America"
"24",NA,24,"united states","United States of America"
"25",NA,25,"united states","United States of America"
"26",NA,26,"united states","United States of America"
"27",NA,27,"united states","United States of America"
"28",NA,28,"united states","United States of America"
"29",NA,29,"united states","United States of America"
"30",NA,30,"united states","United States of America"
"31",NA,31,"united states","United States of America"
"32",NA,32,"united states","United States of America"
"33",NA,33,"united states","United States of America"
"34",NA,34,"united states","United States of America"
"35",NA,35,"united states","United States of America"
"36",NA,36,"united states","United States of America"
"37",NA,37,"united states","United States of America"
"38",NA,38,"united states","United States of America"
"39",NA,39,"united states","United States of America"
"40",NA,40,"united states","United States of America"
"41",NA,41,"united states","United States of America"
"42",NA,42,"united states","United States of America"
"43",NA,43,"united states","United States of America"
"44",NA,44,"united states","United States of America"
"45",NA,45,"united states","United States of America"
"46",NA,46,"united states","United States of America"
"47",NA,47,"united states","United States of America"
"48",NA,48,"united states","United States of America"
"49",NA,49,"united states","United States of America"
"50",NA,50,"united states","United States of America"
"51",NA,51,"united states","United States of America"
"52",NA,52,"united states","United States of America"
"53",NA,53,"united states","United States of America"
"54",NA,54,"united states","United States of America"
"55",NA,55,"united states","United States of America"
"56",NA,56,"united states","United States of America"
"57",NA,57,"united states","United States of America"
"58",NA,58,"united states","United States of America"
"59",NA,59,"united states","United States of America"
"60",NA,60,"united states","United States of America"
"61",NA,61,"united states","United States of America"
"62",NA,62,"united states","United States of America"
"63",NA,63,"united states","United States of America"
"64",NA,64,"united states","United States of America"
"65",NA,65,"united states","United States of America"
"66",NA,66,"united states","United States of America"
"67",NA,67,"united states","United States of America"
"68",NA,68,"united states","United States of America"
"69",NA,69,"united states","United States of America"
"70",NA,70,"united states","United States of America"
"71",NA,71,"united states","United States of America"
"72",NA,72,"united states","United States of America"
"73",NA,73,"united states","United States of America"
"74",NA,74,"united states","United States of America"
"75",NA,75,"united states","United States of America"
"76",NA,76,"united states","United States of America"
"77",NA,77,"united states","United States of America"
"78",NA,78,"united states","United States of America"
"79",NA,79,"united states","United States of America"
"80",NA,80,"united states","United States of America"
"81",NA,81,"united states","United States of America"
"82",NA,82,"united states","United States of America"
"83",NA,83,"united states","United States of America"
