"","","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health (PPP int. $)","Per capita total expenditure on health (PPP int. $)","Per capita total expenditure on health (PPP int. $)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health (PPP int. $)","Per capita government expenditure on health (PPP int. $)","Per capita government expenditure on health (PPP int. $)"
"Country","Data Source"," 2013"," 2012"," 2000"," 2013"," 2012"," 2000"," 2013"," 2012"," 2000"," 2013"," 2012"," 2000"
"Afghanistan"," Afghanistan note","55","58","","161","159","","12","12","","34","33",""
"Albania","  ","240","220","70","539","506","248","116","109","25","261","250","90"
"Algeria","  ","314","319","60","778","781","274","233","234","44","577","574","201"
"Andorra","  ","2948","3414","1318","3338","3907","1955","2220","2614","854","2514","2992","1267"
"Angola","  ","267","190","22","355","253","91","178","118","11","237","157","45"
"Antigua and Barbuda"," Antigua and Barbuda note","665","727","420","1021","1125","634","429","494","281","658","764","426"
"Argentina"," Argentina note","1074","994","710","1725","1550","841","727","689","383","1167","1074","453"
"Armenia","  ","159","150","39","351","332","145","66","63","7","147","139","26"
"Australia"," Australia note","6110","6393","1714","4191","4042","2255","4070","4294","1146","2792","2715","1509"
"Austria","  ","5427","5206","2406","4885","4812","2904","4111","3951","1820","3700","3652","2197"
"Azerbaijan"," Azerbaijan note","436","402","30","957","878","164","91","91","6","199","198","30"
"Bahamas","  ","1621","1618","1107","1688","1703","1064","714","730","532","743","769","511"
"Bahrain"," Bahrain note","1067","920","476","1900","1651","1255","749","645","320","1333","1158","845"
"Bangladesh"," Bangladesh note","32","26","9","95","85","29","11","8","4","34","27","12"
"Barbados","  ","1007","1009","602","1060","1407","792","615","615","396","647","857","521"
"Belarus","  ","463","339","75","1081","867","356","303","262","56","707","669","268"
"Belgium","  ","5093","4742","1845","4526","4345","2251","3860","3567","1377","3431","3268","1679"
"Belize"," Belize note","262","259","139","458","458","227","164","168","73","286","297","119"
"Benin","  ","37","37","15","82","85","52","20","21","7","44","49","23"
"Bhutan"," Bhutan note","90","90","52","275","264","193","66","66","41","203","194","153"
"Bolivia (Plurinational State of)"," Bolivia Plurinational States of  note","174","149","60","372","332","209","136","107","36","291","238","125"
"Bosnia and Herzegovina","  ","449","446","103","928","934","315","314","318","59","650","666","178"
"Botswana","  ","397","402","152","851","814","374","227","233","95","486","473","233"
"Brazil","  ","1085","1078","265","1454","1388","626","523","512","107","701","659","252"
"Brunei Darussalam"," Brunei Darussalam note","974","946","543","1812","1678","1776","895","869","470","1664","1540","1536"
"Bulgaria","  ","555","520","97","1213","1171","385","329","292","59","718","659","234"
"Burkina Faso","  ","46","40","12","109","95","43","27","23","5","64","56","17"
"Burundi"," Burundi note","21","21","7","62","62","29","12","13","2","34","38","9"
"Côte d'Ivoire","  ","87","80","40","172","181","144","29","24","12","57","55","43"
"Cabo Verde","  ","165","163","59","279","291","144","121","118","43","206","211","105"
"Cambodia"," Cambodia note","76","69","17","229","209","63","16","14","4","47","41","14"
"Cameroon"," Cameroon note","67","61","26","138","130","81","23","20","5","48","42","17"
"Canada","  ","5718","5763","2100","4759","4610","2534","3991","4037","1477","3322","3229","1783"
"Central African Republic"," Central African Republic note","13","18","11","24","36","24","7","9","5","12","18","12"
"Chad"," Chad note","37","37","10","74","73","50","14","14","4","27","28","21"
"Chile","  ","1204","1106","364","1678","1610","688","570","528","131","795","768","248"
"China","  ","367","322","43","646","578","130","205","180","16","360","323","50"
"Colombia"," Colombia note","533","530","148","843","808","394","405","402","117","641","612","313"
"Comoros","  ","51","54","13","90","99","43","17","21","6","29","39","19"
"Congo","  ","131","125","22","242","228","78","101","99","13","187","180","45"
"Cook Islands"," Cook Islands note","526","498","175","513","515","394","474","452","158","463","467","355"
"Costa Rica"," Costa Rica note","1005","952","287","1369","1350","537","753","711","226","1026","1008","422"
"Croatia","  ","982","950","371","1517","1477","835","786","761","320","1214","1182","719"
"Cuba","  ","603","558","166","1828","1745","537","561","526","151","1700","1642","487"
"Cyprus","  ","1884","1955","753","2197","2261","1115","873","910","314","1018","1053","464"
"Czech Republic","  ","1367","1411","361","1982","2038","982","1139","1186","326","1651","1712","887"
"Democratic Republic of the Congo"," Democratic Republic of the Congo note","16","15","19","26","25","6","8","8","1","14","13","0"
"Denmark","  ","6270","6204","2613","4552","4615","2514","5351","5320","2191","3886","3958","2109"
"Djibouti","  ","137","139","44","247","252","96","82","83","30","148","150","65"
"Dominica","  ","417","399","225","597","577","292","294","280","159","421","405","207"
"Dominican Republic"," Dominican Republic note","315","310","173","631","607","362","164","158","60","329","309","125"
"Ecuador"," Ecuador note","431","361","53","789","671","208","225","162","16","412","301","65"
"Egypt","  ","151","158","80","539","532","337","62","62","33","219","208","136"
"El Salvador"," El Salvador note","266","254","176","539","508","397","177","159","80","360","319","180"
"Equatorial Guinea"," Equatorial Guinea note","714","769","55","1170","1233","255","555","618","44","910","991","202"
"Eritrea"," Eritrea note","17","15","7","36","36","47","7","7","3","16","17","18"
"Estonia","  ","1072","994","214","1453","1416","511","835","783","165","1131","1115","395"
"Ethiopia","  ","25","22","5","69","61","22","15","14","3","42","37","12"
"Fiji"," Fiji note","189","184","80","328","306","211","127","122","67","221","202","176"
"Finland","  ","4449","4158","1700","3604","3497","1857","3349","3119","1212","2713","2623","1323"
"France","  ","4864","4644","2209","4334","4213","2556","3771","3592","1754","3360","3259","2029"
"Gabon","  ","441","399","118","735","670","395","240","211","48","399","354","160"
"Gambia","  ","29","31","23","99","98","45","17","19","8","59","59","15"
"Georgia"," Georgia note","350","333","45","697","644","168","75","60","8","150","116","29"
"Germany","  ","5006","4717","2387","4812","4635","2682","3846","3618","1898","3696","3556","2133"
"Ghana"," Ghana note","100","86","12","214","195","82","60","59","6","130","133","41"
"Greece","  ","2146","2070","918","2513","2355","1454","1492","1390","551","1747","1581","873"
"Grenada","  ","499","471","339","729","693","507","236","223","176","345","327","264"
"Guatemala"," Guatemala note","222","215","94","467","457","273","84","75","36","176","159","105"
"Guinea","  ","25","22","12","59","56","31","9","9","4","21","22","10"
"Guinea-Bissau"," Guinea-Bissau note","32","31","16","79","79","57","6","8","2","16","19","6"
"Guyana","  ","250","235","56","426","404","235","165","155","47","282","267","199"
"Haiti"," Haiti note","77","73","26","160","117","83","6","7","7","12","11","23"
"Honduras","  ","196","221","76","400","425","183","96","98","41","197","189","99"
"Hungary","  ","1056","999","326","1839","1766","853","671","625","230","1169","1105","603"
"Iceland","  ","4126","3850","2961","3646","3485","2765","3320","3100","2400","2933","2806","2241"
"India"," India note","61","58","20","215","196","89","20","18","5","69","60","24"
"Indonesia","  ","107","108","15","293","273","86","42","43","6","114","108","31"
"Iran (Islamic Republic of)"," Iran (Islamic Republic of) note","432","485","229","1414","1218","390","176","196","95","577","492","162"
"Iraq"," Iraq note","305","282","7","695","629","16","194","171","0","441","381","1"
"Ireland","  ","4233","4079","1593","3867","3817","1800","2864","2757","1181","2617","2580","1334"
"Israel","  ","2599","2393","1490","2355","2314","1766","1537","1431","932","1393","1383","1105"
"Italy","  ","3155","3114","1527","3126","3153","2031","2462","2408","1134","2439","2438","1507"
"Jamaica"," Jamaica note","305","302","189","512","437","354","174","175","100","293","253","186"
"Japan","  ","3966","4787","2865","3741","3632","1992","3255","3932","2315","3071","2983","1610"
"Jordan"," Jordan note","336","351","171","761","828","593","222","241","82","502","568","285"
"Kazakhstan","  ","580","539","52","1023","974","327","308","301","27","544","544","167"
"Kenya"," Kenya note","45","42","19","101","98","67","19","17","9","42","40","31"
"Kiribati"," Kiribati note","166","177","65","187","184","114","137","144","62","154","150","109"
"Kuwait","  ","1507","1446","494","2375","2249","1685","1246","1197","377","1962","1861","1286"
"Kyrgyzstan","  ","87","84","13","221","209","76","51","51","6","130","126","34"
"Lao People's Democratic Republic"," Lao People's Democratic Republic note","32","27","11","95","86","61","16","9","4","47","27","22"
"Latvia","  ","874","820","196","1310","1256","478","541","497","107","811","761","260"
"Lebanon","  ","631","663","579","1092","1150","1062","320","307","171","554","532","314"
"Lesotho","  ","123","138","29","297","295","90","98","108","14","235","232","45"
"Liberia","  ","44","39","11","88","75","22","16","13","3","32","26","5"
"Libya"," Libya note","433","669","253","764","1173","721","304","470","123","537","824","351"
"Lithuania"," Lithuania note","966","939","211","1579","1583","558","643","613","147","1051","1033","389"
"Luxembourg","  ","7981","7551","3500","6518","6379","4047","6678","6302","2978","5454","5324","3443"
"Madagascar"," Madagascar note","20","15","12","58","46","57","12","8","6","36","23","29"
"Malawi","  ","26","32","9","90","91","30","13","18","4","45","51","14"
"Malaysia","  ","423","418","122","938","894","378","232","231","68","514","494","211"
"Maldives","  ","720","710","162","1260","1283","274","415","405","93","725","732","158"
"Mali","  ","53","42","16","122","98","69","21","16","5","49","38","23"
"Malta","  ","2000","1857","656","2652","2530","1282","1321","1215","476","1753","1655","929"
"Marshall Islands"," Marshall Islands note","630","589","466","703","651","505","526","487","409","587","538","444"
"Mauritania","  ","48","44","25","","123","92","24","21","13","67","58","48"
"Mauritius","  ","463","439","146","864","817","341","227","212","76","424","394","178"
"Mexico","  ","664","618","328","1061","1062","509","344","320","153","549","550","237"
"Micronesia (Federated States of)"," Micronesia (Federated States of) note","407","404","170","448","447","197","368","365","159","404","404","185"
"Monaco"," Monaco note","6993","6521","2684","6123","5767","3091","6165","5769","2338","5398","5102","2693"
"Mongolia","  ","244","232","22","567","530","145","147","146","18","341","333","119"
"Montenegro"," Montenegro note","461","472","118","926","980","479","264","291","84","531","605","340"
"Morocco","  ","189","181","54","438","430","149","64","64","16","149","153","44"
"Mozambique"," Mozambique note","40","33","15","71","58","27","19","16","10","33","28","19"
"Myanmar"," Myanmar note","14","20","3","37","35","10","4","5","0","10","8","1"
"Namibia","  ","423","472","126","749","741","299","255","292","87","453","459","206"
"Nauru"," Nauru note","718","836","288","644","699","729","665","781","272","597","653","688"
"Nepal"," Nepal note","39","36","12","135","118","68","17","14","3","58","47","17"
"Netherlands","  ","6145","5836","1932","5601","5395","2352","4907","4646","1219","4472","4295","1484"
"New Zealand","  ","4063","3954","1056","3405","3291","1614","3373","3279","824","2826","2729","1259"
"Nicaragua","  ","155","144","54","382","355","147","83","78","29","205","193","79"
"Niger","  ","27","24","9","60","55","33","10","8","2","22","18","9"
"Nigeria"," Nigeria note","109.4","90.5","17.2","206.6","178.4","101.9","26.2","28.2","5.8","49.4","55.6","34.1"
"Niue"," Niue note","1260","1273","318","959","962","488","1238","1251","313","943","945","481"
"Norway","  ","9715","9312","3165","6308","6060","3055","8303","7919","2611","5391","5154","2520"
"Oman","  ","678","605","273","796","710","678","542","486","223","637","571","554"
"Pakistan"," Pakistan note","37","34","15","126","122","81","14","12","3","46","45","18"
"Palau"," Palau note","1008","976","908","1288","1310","1218","776","753","532","992","1011","713"
"Panama","  ","796","723","295","796","1299","613","544","496","201","544","892","417"
"Papua New Guinea","  ","94","97","26","114","108","59","75","78","21","92","86","48"
"Paraguay"," Paraguay note","395","358","124","724","690","388","152","152","49","279","294","155"
"Peru"," Peru note","354","368","95","626","635","249","208","216","53","368","373","141"
"Philippines"," Philippines note","122","115","33","287","271","108","38","35","16","91","82","51"
"Poland","  ","895","859","247","1551","1509","584","623","594","173","1079","1044","409"
"Portugal","  ","2037","2000","1064","2508","2522","1652","1317","1280","708","1622","1615","1100"
"Qatar"," Qatar note","2043","2029","652","2882","2851","1928","1712","1697","471","2416","2384","1394"
"Republic of Korea","  ","1880","1724","504","2398","2244","765","1004","940","247","1280","1223","375"
"Republic of Moldova"," Republic of Moldova note","263","241","23","553","498","122","121","110","11","255","227","59"
"Romania","  ","504","468","73","988","982","248","402","375","59","788","788","201"
"Russian Federation","  ","957","913","96","1587","1529","370","460","467","57","762","782","221"
"Rwanda","  ","71","70","9","162","158","26","41","41","3","95","93","10"
"Saint Kitts and Nevis"," Saint Kitts and Nevis note","873","892","392","1332","1336","640","315","324","237","481","486","386"
"Saint Lucia","  ","621","573","272","898","829","419","344","307","143","496","444","220"
"Saint Vincent and the Grenadines","  ","345","340","137","555","547","224","285","279","113","459","449","184"
"Samoa"," Samoa note","271","243","80","379","337","185","242","214","61","340","297","142"
"San Marino","  ","3847","3877","2166","3709","3819","2860","3380","3380","1860","3258","3330","2455"
