Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
Malaria Early Warning System (MEWS),Faith,,,World Health Organization (WHO),Gov,,,*,*,*,http://iridl.ldeo.columbia.edu/maproom/Health/Regional/Africa/Malaria/System.html#tabs-3,,,,,global,"International Reserach Institute for Climate and Society,  Bill and Melinda Gates Foundation","climate data, drug resistance mapping, journals, published reports",,http://iridl.ldeo.columbia.edu/maproom/Health/Regional/Africa/Malaria/System.html#tabs-3,"other surveillance systems, PHOR, NPHR",*death,yes (through ProMed),yes,no,no,,malaria,,
Canadian Measles/Rubella Surveillance System (CMRSS),Olivia W.,,,Public Health Agency of Canada,Gov,,,Current,1998,C,http://www.phac-aspc.gc.ca/surveillance-eng.php#cmrss,,,,Canada,,,"laboratory-confirmed cases, clinical data, epidemiological data",,,PHOR,duplicate,,yes,no,no,,"measles, rubella, mumps",,
DHIS2,Olivia W.,,,Health Information Systems Programme (HISP) at University of Oslo,NP,ZG-yes tool,,nf ,nf ,nf ,https://www.dhis2.org/,,,,Zambia,,,,,https://www.dhis2.org/,NA,na,,yes,no,no,,malaria,,
Arbovirus Disease Surveillance in Kansas,Faith,,,Kansas Department of Health and Environment,Gov,,,Current,2011,C,http://www.kdheks.gov/epi/arboviral_disease.htm,,,Kansas ,United States ,,,,,http://www.kdheks.gov/epi/arboviral_disease.htm,"clinical, lab",na,no,yes,yes,no,,arboviral diseases,,
Iowa Voluntary Chronic Wasting Disease Surveillance Program,Faith,,,Iowa Department of Agriculture,Gov,,,Current,2000,C,http://www.iowaagriculture.gov/animalIndustry/cwdSurveillance.asp,,,Iowa ,United States ,,,,,http://www.iowaagriculture.gov/animalIndustry/cwdSurveillance.asp,"lab, field reporting",na,no,no,yes,no,,Chronic Wasting Disease,,
Utah - National Electronic Disease Surveillance System (UT-NEDSS),Faith,,,Utah Department of Health,Gov,,,Terminated,2007,2009,http://health.utah.gov/nedss/,,,Utah ,United States ,,,,,http://health.utah.gov/nedss/,NA (software),na,NF,yes,no,no,,nonspecific,,
Integrated Plant Health Information System (IPHIS),Olivia W.,,,USDA APHIS (Plant Protection and Quarantine Program),Gov,,,Terminated,2010,2013,http://www.usda.gov/documents/iphis-pia-signed-6_19_2012.pdf,,,,United States ,,"USDA APHIS field specialists, Federal Agencies, others","plant pest, noxious weed, biocontrol survey data",,,NPHR,na,,no,no,yes,,nonspecific,,
Communicable Disease Surveillance for Superbowl XLVIII (New Jersey),Faith,,,International Society for Disease Surveillance,NP,,,Terminated,2014,2015,http://www.syndromic.org/cop/technical-conventions/use-cases/960-webinar-super-bowl-surveillance,,,New Jersey ,United States ,,,,,http://www.syndromic.org/cop/technical-conventions/use-cases/960-webinar-super-bowl-surveillance,"other surveillance systems, clinical",na,no,yes,yes,no,"gastrointestinal, respiratory, dermatological, neurological",nonspecific,,
Epidemiological Surveillance for Superbowl XLIX (Arizona),Faith,,,International Society for Disease Surveillance,NP,,,Terminated,2014,2015,http://www.syndromic.org/cop/technical-conventions/use-cases/960-webinar-super-bowl-surveillance,,,Arizona ,United States ,,,,,http://www.syndromic.org/cop/technical-conventions/use-cases/960-webinar-super-bowl-surveillance,"other surveillance systems, clinical",na,no,yes,yes,no,"gastrointestinal, respiratory, dermatological, neurological, ILI",nonspecific,,
Foodborne Disease Outbreak Surveillance System (FDOSS),Faith,,,Centers for Disease Control and Prevention (CDC),Gov,,,current,1973,c,http://www.cdc.gov/foodborneburden/surveillance-systems.html,,,,United States ,,,,,http://www.cdc.gov/foodborneburden/surveillance-systems.html,"PHOR, non-clinical",na,,yes,yes,no,,foodborne diseases,also test water,
